Date,Ticker,Preço,Retorno
2026-01-18,VALE3,79.37,0.6595
2026-01-18,WEGE3,46.26,-0.3876
2026-01-18,PETR4,32.1,0.9751
2026-01-18,ITUB4,39.59,-0.8763
