SETOR,SUBSETOR,SEGMENTO,NOME DE PREGÃO,CÓDIGO,SEGMENTO DE NEGOCIAÇÃO
Utilidade Pública,Energia Elétrica,Energia Elétrica,ENGIE BRASIL,EGIE,Novo Mercado
Utilidade Pública,Energia Elétrica,Energia Elétrica,EQTL PARA,EQPA,Básico Bolsa
Utilidade Pública,Energia Elétrica,Energia Elétrica,EQTLMARANHAO,EQMA,Básico Balcão
Utilidade Pública,Energia Elétrica,Energia Elétrica,EQUATORIAL,EQTL,Novo Mercado
Utilidade Pública,Energia Elétrica,Energia Elétrica,GER PARANAP,GEPA,Básico Bolsa
Utilidade Pública,Energia Elétrica,Energia Elétrica,ISA ENERGIA,ISAE,Nível 1
Utilidade Pública,Energia Elétrica,Energia Elétrica,LIGHT,LIGH,Básico Bolsa
Utilidade Pública,Energia Elétrica,Energia Elétrica,LIGHT S/A,LIGT,Novo Mercado
Utilidade Pública,Energia Elétrica,Energia Elétrica,NEOENERGIA,NEOE,Novo Mercado
Utilidade Pública,Energia Elétrica,Energia Elétrica,PROMAN,PRMN,Básico Balcão
Utilidade Pública,Energia Elétrica,Energia Elétrica,REDE ENERGIA,REDE,Básico Bolsa
Utilidade Pública,Energia Elétrica,Energia Elétrica,RENOVA,RNEW,Nível 2
Utilidade Pública,Energia Elétrica,Energia Elétrica,RIO ALTO,RIOS,Básico Bolsa
Utilidade Pública,Energia Elétrica,Energia Elétrica,TAESA,TAEE,Nível 2
Utilidade Pública,Água e Saneamento,Água e Saneamento,AMBIPAR,AMBP,Novo Mercado
Utilidade Pública,Água e Saneamento,Água e Saneamento,CASAN,CASN,Básico Bolsa
Utilidade Pública,Água e Saneamento,Água e Saneamento,COPASA,CSMG,Novo Mercado
Utilidade Pública,Água e Saneamento,Água e Saneamento,IGUA SA,IGSN,Mais
Utilidade Pública,Água e Saneamento,Água e Saneamento,ORIZON,ORVR,Novo Mercado
Utilidade Pública,Água e Saneamento,Água e Saneamento,SABESP,SBSP,Novo Mercado
Utilidade Pública,Água e Saneamento,Água e Saneamento,SANEPAR,SAPR,Nível 2
Utilidade Pública,Gás,Gás,CEG,CEGR,Básico Bolsa
Utilidade Pública,Gás,Gás,COMGAS,CGAS,Básico Bolsa
Utilidade Pública,Gás,Gás,COMPASS,PASS,Básico Bolsa
Financeiro,Intermediários Financeiros,Bancos,ABC BRASIL,ABCB,Nível 2
Financeiro,Intermediários Financeiros,Bancos,ALFA HOLDING,RPAD,Básico Bolsa
Financeiro,Intermediários Financeiros,Bancos,AMAZONIA,BAZA,Básico Bolsa
Financeiro,Intermediários Financeiros,Bancos,BANCO BMG,BMGB,Nível 1
Financeiro,Intermediários Financeiros,Bancos,BANCO PAN,BPAN,Nível 1
Financeiro,Intermediários Financeiros,Bancos,BANESE,BGIP,Básico Bolsa
Financeiro,Intermediários Financeiros,Bancos,BANESTES,BEES,Básico Bolsa
Financeiro,Intermediários Financeiros,Bancos,BANPARA,BPAR,Básico Bolsa
Financeiro,Intermediários Financeiros,Bancos,BANRISUL,BRSR,Nível 1
Financeiro,Intermediários Financeiros,Bancos,BR PARTNERS,BRBI,Nível 2
Financeiro,Intermediários Financeiros,Bancos,BRADESCO,BBDC,Nível 1
Financeiro,Intermediários Financeiros,Bancos,BRASIL,BBAS,Novo Mercado
Financeiro,Intermediários Financeiros,Bancos,BRB BANCO,BSLI,Básico Bolsa
Financeiro,Intermediários Financeiros,Bancos,BTGP BANCO,BPAC,Nível 2
Financeiro,Intermediários Financeiros,Bancos,INTER CO,INBR,BDR2
Financeiro,Intermediários Financeiros,Bancos,ITAUUNIBANCO,ITUB,Nível 1
Financeiro,Intermediários Financeiros,Bancos,MERC INVEST,BMIN,Básico Bolsa
Financeiro,Intermediários Financeiros,Bancos,MERCANTIL,BMEB,Nível 1
Financeiro,Intermediários Financeiros,Bancos,NORD BRASIL,BNBR,Básico Bolsa
Financeiro,Intermediários Financeiros,Bancos,PINE,PINE,Nível 2
Financeiro,Intermediários Financeiros,Bancos,SANTANDER BR,SANB,Básico Bolsa
Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento,MERC FINANC,MERC,Básico Bolsa
Financeiro,Intermediários Financeiros,Outros Intermediarios Financeiros,INVEST BEMGE,FIGE,Básico Bolsa
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,BRAZILIAN SC,BSCS,Básico Bolsa
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,OPEA,RBRA,Básico Bolsa
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,POLO CAP SEC,PLSC,Básico Bolsa
Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,G2D INVEST,G2DI,BDR3
Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,PPLA,PPLA,BDR3
Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos,B3,B3SA,Novo Mercado
Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos,CSU DIGITAL,CSUD,Novo Mercado
Financeiro,Previdência e Seguros,Seguradoras,BBSEGURIDADE,BBSE,Novo Mercado
Financeiro,Previdência e Seguros,Seguradoras,CAIXA SEGURI,CXSE,Novo Mercado
Financeiro,Previdência e Seguros,Seguradoras,PORTO SEGURO,PSSA,Novo Mercado
Financeiro,Previdência e Seguros,Resseguradoras,IRBBRASIL RE,IRBR,Novo Mercado
Financeiro,Previdência e Seguros,Corretoras de Seguros e Resseguros,WIZ CO,WIZC,Novo Mercado
Financeiro,Exploração de Imóveis,Exploração de Imóveis,ALLOS,ALOS,Novo Mercado
Financeiro,Exploração de Imóveis,Exploração de Imóveis,GENERALSHOPP,GSHP,Básico Bolsa
Financeiro,Exploração de Imóveis,Exploração de Imóveis,HABITASUL,HBTS,Básico Bolsa
Financeiro,Exploração de Imóveis,Exploração de Imóveis,HBR REALTY,HBRE,Novo Mercado
Financeiro,Exploração de Imóveis,Exploração de Imóveis,IGUATEMI S.A,IGTI,Nível 1
Financeiro,Exploração de Imóveis,Exploração de Imóveis,LOG COM PROP,LOGG,Novo Mercado
Financeiro,Exploração de Imóveis,Exploração de Imóveis,MULTIPLAN,MULT,Nível 2
Financeiro,Exploração de Imóveis,Exploração de Imóveis,NORDON MET,NORD,Básico Bolsa
Financeiro,Exploração de Imóveis,Exploração de Imóveis,PAR AL BAHIA,PEAB,Básico Bolsa
Financeiro,Exploração de Imóveis,Exploração de Imóveis,SAO CARLOS,SCAR,Novo Mercado
Financeiro,Exploração de Imóveis,Exploração de Imóveis,SYN PROP TEC,SYNE,Novo Mercado
Financeiro,Exploração de Imóveis,Intermediação Imobiliária,LOPES BRASIL,LPSB,Novo Mercado
Financeiro,Exploração de Imóveis,Intermediação Imobiliária,NEXPE,NEXP,Básico Bolsa
Financeiro,Holdings Diversificadas,Holdings Diversificadas,ARANDU,ARND,Novo Mercado
Financeiro,Holdings Diversificadas,Holdings Diversificadas,EMBPAR S/A,EPAR,Básico Bolsa
Financeiro,Holdings Diversificadas,Holdings Diversificadas,ITAUSA,ITSA,Nível 1
Financeiro,Holdings Diversificadas,Holdings Diversificadas,MONT ARANHA,MOAR,Básico Bolsa
Financeiro,Holdings Diversificadas,Holdings Diversificadas,SIMPAR,SIMH,Novo Mercado
Financeiro,Serviços Diversos,Serviços Diversos,CIABRASF,ADMF,Novo Mercado
Financeiro,Outros Títulos,Outros Títulos,CEPAC - CTBA,CTBA,Básico Balcão
Financeiro,Outros Títulos,Outros Títulos,CEPAC - MCRJ,MCRJ,Básico Balcão
Financeiro,Outros Títulos,Outros Títulos,CEPAC - PMSP,PMSP,Básico Balcão
Outros,Outros,Outros,524 PARTICIP,QVQP,Básico Bolsa
Outros,Outros,Outros,BETAPART,BETP,Básico Bolsa
Outros,Outros,Outros,CEMEPE,MAPT,Básico Bolsa
Outros,Outros,Outros,GAMA PART,OPGM,Básico Bolsa
Outros,Outros,Outros,POLPAR,PPAR,Básico Bolsa
Outros,Outros,Outros,PROMPT PART,PRPT,Básico Bolsa
Outros,Outros,Outros,SUDESTE S/A,OPSE,Básico Bolsa
Outros,Outros,Outros,SUL 116 PART,OPTS,Básico Bolsa
